,,,,,,,,,Runs parameters:,,,,,,,,,,,,,,,,,effsize,effsize,effsize,effsize,effsize,effsize,effsize,effsize,effsize,effsize,rel_diff,rel_diff,rel_diff,rel_diff,rel_diff,rel_diff,rel_diff,rel_diff,rel_diff,rel_diff,,,Tree,Collapsed tree,Collapsed tree short format,Smallest pp value in tree,plase of smallest pp,The main topologies found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,47,1.00E-05,2,38721,cluster.47_Species_homogroups_Diamond.1e-5.all_vs_all.txt.2.mcl.table.fasta.nexus,47,,,cluster.47_Species_homogroups_Diamond.1e-5.all_vs_all.txt.2.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-5.all_vs_all.txt.2.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-5.all_vs_all.txt.2.mcl.table.fasta_run_3.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-5.all_vs_all.txt.2.mcl.table.fasta_run_4.trees.tree,:,80001,trees,0.0226247,0.000401317,829,829,0.0134549,1090,0.0262703,1078,0.0261202,1186,0.0257823,1315,0.0254707,1187,0.0258195,80001,0,2038,0.0123437,2038,0.0123432,80001,0,,,,,"""(ACDI:0.001483",NEVE:0.001508,(HYMA:0.004203,(((PLBA:0.004652,MNLE:0.001183)0.99:0.007299,((TRAD:0.001376,HOHO:0.000614)0.99:0.004361,((OSCA:0.006487,(SYCI:0.003387,(TEWI:0.002578,AMQU:0.001943)0.99:0.001903)0.54:0.000153)0.99:0.000323,((SARO:0.002721,MOBR:0.004844)0.99:0.003612,(CAOW:0.006062,(SPAR:0.007499,(SPPU:0.00346,((((SCPO:0.007379,SACE:0.009175)0.99:0.00139,MAOR:0.003832)0.99:0.000924,CRNE:0.006279)0.99:0.002559,ALMA:0.007915)0.99:0.00095)0.99:0.003677)0.99:0.001096)0.99:0.000997)0.99:0.001604)0.99:0.000248)0.76:7.5e-05)0.99:0.000219,((XEBO:0.004389,((SYRO:0.001509,PSVA:0.00164)0.99:0.004253,(NEWE:0.001892,MEST:0.003707)0.99:0.001105)0.99:0.000406)0.99:0.000603,(((LOGI:0.002197,(HERO:0.004151,CATE:0.00145)0.99:0.000446)0.99:0.000214,(SCMA:0.008757,((IXSC:0.003378,(DRME:0.004035,DAPU:0.002956)0.99:0.00065)0.99:0.000561,(PRPA:0.003505,CAEL:0.00168)0.99:0.006904)0.99:0.000713)0.99:0.000278)0.99:0.000394,(((((XETR:0.000933,(HOSA:0.000255,GAGA:0.000811)0.99:0.000144)0.99:0.000213,DARE:0.000589)0.99:0.001605,CIIN:0.00397)0.99:0.000481,BRFL:0.001937)0.99:0.000358,((SAKO:0.001069,PTFL:0.00178)0.99:0.000966,((OPFA:0.001121,AUMO:0.003479)0.99:0.000689,(STPU:0.001787,"ACPL:0.001524)0.99:0.00027)0.99:0.000441)0.99:0.000336)0.99:0.000222)0.99:0.000243)0.99:0.000359)0.99:0.000516)0.99:0.000892);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,41,1.00E-02,2,32804,cluster.41_Species_homogroups_Diamond.1e-2.all_vs_all.txt.2.mcl.table.fasta.nexus,41,,,cluster.41_Species_homogroups_Diamond.1e-2.all_vs_all.txt.2.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-2.all_vs_all.txt.2.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-2.all_vs_all.txt.2.mcl.table.fasta_run_3.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-2.all_vs_all.txt.2.mcl.table.fasta_run_4.trees.tree,:,80001,trees,0.038862,0.000522779,813,813,0.00630079,2331,0.0115283,2307,0.0115291,2535,0.00946282,2788,0.00824047,2536,0.00949554,80001,0,1848,0.0118678,1848,0.0118673,80001,0,,,,,"""(ACDI:0.001875",NEVE:0.001934,(HYMA:0.005412,((((PLBA:0.005904,MNLE:0.001488)0.99:0.009287,(TRAD:0.001782,HOHO:0.000747)0.99:0.005708)0.8:0.000254,((OSCA:0.008554,(SYCI:0.004303,(TEWI:0.003314,AMQU:0.002416)0.99:0.002422)0.99:0.000316)0.99:0.000411,((SARO:0.003586,MOBR:0.006485)0.99:0.004745,(CAOW:0.008478,(SPAR:0.01008,((((SCPO:0.010891,SACE:0.013255)0.99:0.002388,MAOR:0.005619)0.99:0.001219,CRNE:0.009273)0.99:0.004399,(SPPU:0.00431,ALMA:0.012905)0.99:0.001648)0.99:0.004997)0.99:0.001477)0.99:0.001364)0.99:0.002078)0.99:0.000326)0.99:0.000342,(XEBO:0.006441,(((LOGI:0.002726,(HERO:0.005265,CATE:0.001838)0.99:0.000617)0.99:0.000265,(SCMA:0.011304,((IXSC:0.004302,(DRME:0.005277,DAPU:0.003817)0.99:0.000876)0.99:0.000851,(PRPA:0.004301,CAEL:0.002231)0.99:0.009219)0.99:0.000835)0.99:0.000318)0.99:0.000431,(((((XETR:0.001264,(HOSA:0.000387,GAGA:0.001133)0.99:0.000217)0.99:0.000328,DARE:0.000793)0.99:0.002086,CIIN:0.005066)0.99:0.000608,BRFL:0.002375)0.99:0.00034,((SAKO:0.001265,PTFL:0.002221)0.99:0.001084,(STPU:0.002073,"ACPL:0.001724)0.99:0.000702)0.99:0.000521)0.99:0.000308)0.99:0.000135)0.99:0.000655)0.99:0.000649)0.99:0.001059);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,44,1.00E-02,2,38977,cluster.44_Species_homogroups_Diamond.1e-2.all_vs_all.txt.2.mcl.table.fasta.nexus,44,,,cluster.44_Species_homogroups_Diamond.1e-2.all_vs_all.txt.2.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.44_Species_homogroups_Diamond.1e-2.all_vs_all.txt.2.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.44_Species_homogroups_Diamond.1e-2.all_vs_all.txt.2.mcl.table.fasta_run_3.trees.tree,:,80001,trees,cluster.44_Species_homogroups_Diamond.1e-2.all_vs_all.txt.2.mcl.table.fasta_run_4.trees.tree,:,80001,trees,0.0414745,0.000353265,846,846,0.0123024,1281,0.00908651,1273,0.00899287,1356,0.00805457,1459,0.00723845,1356,0.00808249,80001,0,1310,0.0112353,1310,0.0112361,80001,0,,,,,"""(ACDI:0.002039",NEVE:0.002033,(HYMA:0.005534,((((PLBA:0.006134,MNLE:0.001636)0.99:0.009292,(TRAD:0.001922,HOHO:0.000848)0.99:0.005773)0.61:0.000193,((OSCA:0.008696,(SYCI:0.004507,(TEWI:0.003509,AMQU:0.002603)0.99:0.002474)0.99:0.000258)0.99:0.000434,((SARO:0.003728,MOBR:0.006533)0.99:0.004633,(CAOW:0.008408,(SPAR:0.00985,((((SCPO:0.010501,SACE:0.01287)0.99:0.002082,MAOR:0.005441)0.99:0.001125,CRNE:0.008906)0.99:0.004094,(SPPU:0.004319,ALMA:0.012424)0.99:0.001554)0.99:0.004632)0.99:0.00135)0.99:0.001275)0.99:0.001979)0.99:0.000292)0.99:0.000273,(((SYRO:0.002032,PSVA:0.00196)0.99:0.005209,(NEWE:0.002493,MEST:0.00451)0.99:0.001273)0.99:0.001374,(((LOGI:0.002893,(HERO:0.005386,CATE:0.001958)0.99:0.000592)0.99:0.00027,(SCMA:0.011298,((IXSC:0.004432,(DRME:0.005384,DAPU:0.003974)0.99:0.000843)0.99:0.000828,(PRPA:0.004386,CAEL:0.002358)0.99:0.008829)0.99:0.000842)0.99:0.000325)0.99:0.000384,(((((XETR:0.001269,(HOSA:0.000391,GAGA:0.001133)0.99:0.000206)0.99:0.000318,DARE:0.000783)0.99:0.002037,CIIN:0.005126)0.99:0.000617,BRFL:0.002461)0.99:0.000351,((SAKO:0.0013,PTFL:0.002287)0.99:0.001077,(STPU:0.002117,"ACPL:0.001812)0.99:0.000703)0.99:0.00052)0.99:0.000426)0.99:0.000475)0.99:0.000392)0.99:0.000687)0.99:0.001188);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,47,1.00E-02,2,41248,cluster.47_Species_homogroups_Diamond.1e-2.all_vs_all.txt.2.mcl.table.fasta.nexus,47,,,cluster.47_Species_homogroups_Diamond.1e-2.all_vs_all.txt.2.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-2.all_vs_all.txt.2.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-2.all_vs_all.txt.2.mcl.table.fasta_run_3.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-2.all_vs_all.txt.2.mcl.table.fasta_run_4.trees.tree,:,80001,trees,0.0423495,0.000498057,733,733,0.00547931,902,0.0218397,898,0.0218199,948,0.0221043,1003,0.0222867,948,0.0221025,80001,0,1099,0.00441896,1099,0.00441746,80001,0,,,,,"""(ACDI:0.002053",NEVE:0.002074,(HYMA:0.005469,((((PLBA:0.006092,MNLE:0.00165)0.99:0.008987,(TRAD:0.001859,HOHO:0.000812)0.99:0.005547)0.78:0.000203,((OSCA:0.00857,(SYCI:0.00444,(TEWI:0.003456,AMQU:0.002562)0.99:0.00245)0.99:0.000279)0.99:0.000403,((SARO:0.003615,MOBR:0.006318)0.99:0.004477,(CAOW:0.008115,(SPAR:0.009285,((((SCPO:0.009882,SACE:0.011896)0.99:0.001946,MAOR:0.005043)0.99:0.001071,CRNE:0.008278)0.99:0.003813,(SPPU:0.004099,ALMA:0.01164)0.97:0.001455)0.99:0.004403)0.99:0.001321)0.99:0.001239)0.99:0.002001)0.99:0.000302)0.99:0.000301,((XEBO:0.005921,((SYRO:0.001987,PSVA:0.002051)0.99:0.004917,(NEWE:0.002487,MEST:0.004456)0.99:0.001268)0.99:0.000612)0.99:0.000746,(((LOGI:0.003042,(HERO:0.005392,CATE:0.002038)0.99:0.000601)0.99:0.000307,(SCMA:0.011168,((IXSC:0.004403,(DRME:0.005382,DAPU:0.003946)0.99:0.000837)0.99:0.000797,(PRPA:0.004315,CAEL:0.002313)0.99:0.008636)0.99:0.000898)0.99:0.000363)0.99:0.000494,(((((XETR:0.001275,(HOSA:0.000392,GAGA:0.001108)0.99:0.000198)0.99:0.000314,DARE:0.000789)0.99:0.002116,CIIN:0.005168)0.99:0.000663,BRFL:0.002654)0.99:0.00054,((SAKO:0.001576,PTFL:0.002381)0.99:0.001341,((OPFA:0.001295,AUMO:0.00433)0.99:0.000886,(STPU:0.002477,"ACPL:0.002199)0.99:0.00043)0.99:0.000535)0.99:0.000413)0.99:0.000269)0.99:0.000305)0.99:0.000488)0.99:0.00069)0.99:0.001189);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,41,1.00E-12,2.5,32109,cluster.41_Species_homogroups_Diamond.1e-12.all_vs_all.txt.2.5.mcl.table.fasta.nexus,41,,,cluster.41_Species_homogroups_Diamond.1e-12.all_vs_all.txt.2.5.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-12.all_vs_all.txt.2.5.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-12.all_vs_all.txt.2.5.mcl.table.fasta_run_3.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-12.all_vs_all.txt.2.5.mcl.table.fasta_run_4.trees.tree,:,80001,trees,0.0252372,0.00021808,881,987,0.0139809,6688,0.00753567,6575,0.00751373,7583,0.00729971,8694,0.00714193,7598,0.00731799,80001,0,881,0.00899309,881,0.00899366,80001,0,,,,,"""(ACDI:0.000757",NEVE:0.000834,(HYMA:0.002655,((((PLBA:0.002971,MNLE:0.00067)0.99:0.00506,(TRAD:0.000743,HOHO:0.000352)0.99:0.002821)0.99:0.000113,(((SYCI:0.002116,OSCA:0.004083)0.99:0.000121,(TEWI:0.001562,AMQU:0.001194)0.99:0.001296)0.99:0.000232,((SARO:0.001916,MOBR:0.003081)0.99:0.002631,(CAOW:0.003994,(SPAR:0.005829,(SPPU:0.002319,((((SCPO:0.00532,SACE:0.0066)0.99:0.001048,MAOR:0.002641)0.99:0.000731,CRNE:0.004653)0.99:0.00209,ALMA:0.0059)0.99:0.000679)0.99:0.002786)0.99:0.000863)0.99:0.000681)0.99:0.001123)0.99:0.0002)0.99:0.000188,(XEBO:0.003095,(((LOGI:0.001126,(HERO:0.002516,CATE:0.000724)0.99:0.000311)0.99:0.000146,(SCMA:0.005764,((IXSC:0.002148,(DRME:0.002529,DAPU:0.00178)0.99:0.000389)0.99:0.000365,(PRPA:0.002391,CAEL:0.000998)0.99:0.004959)0.99:0.000395)0.96:0.00012)0.99:0.000207,(((((XETR:0.000499,(HOSA:0.000152,GAGA:0.000459)0.99:9.7e-05)0.99:0.000143,DARE:0.000312)0.99:0.000993,CIIN:0.002494)0.99:0.000201,BRFL:0.001052)0.99:0.000162,((SAKO:0.000495,PTFL:0.000983)0.99:0.000524,(STPU:0.000871,"ACPL:0.000634)0.99:0.000356)0.99:0.000246)0.99:0.000106)0.99:5.5e-05)0.99:0.000361)0.99:0.000297)0.99:0.000521);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,44,1.00E-12,2.5,36369,cluster.44_Species_homogroups_Diamond.1e-12.all_vs_all.txt.2.5.mcl.table.fasta.nexus,44,,,cluster.44_Species_homogroups_Diamond.1e-12.all_vs_all.txt.2.5.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.44_Species_homogroups_Diamond.1e-12.all_vs_all.txt.2.5.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.44_Species_homogroups_Diamond.1e-12.all_vs_all.txt.2.5.mcl.table.fasta_run_3.trees.tree,:,80001,trees,cluster.44_Species_homogroups_Diamond.1e-12.all_vs_all.txt.2.5.mcl.table.fasta_run_4.trees.tree,:,80001,trees,0.000674992,3.19E-05,963,963,0.00539258,1986,0.00188697,1982,0.00184849,2162,0.00165632,2352,0.00153671,2159,0.00166655,80001,0,3540,0.00809935,3540,0.00809851,80001,0,,,,,"""(ACDI:0.000859",NEVE:0.000926,(HYMA:0.002825,((((PLBA:0.003214,MNLE:0.000746)0.99:0.005279,(TRAD:0.000815,HOHO:0.000387)0.99:0.003047)0.99:0.000111,(((SYCI:0.002307,OSCA:0.004293)0.99:0.000127,(TEWI:0.001694,AMQU:0.001291)0.99:0.001399)0.99:0.000263,((SARO:0.002002,MOBR:0.003251)0.99:0.002754,(CAOW:0.004115,(SPAR:0.00591,(SPPU:0.002358,((((SCPO:0.005394,SACE:0.006746)0.99:0.001004,MAOR:0.002714)0.99:0.000707,CRNE:0.004643)0.99:0.002083,ALMA:0.005971)0.99:0.000689)0.99:0.002793)0.99:0.000846)0.99:0.000707)0.99:0.001152)0.99:0.000202)0.99:0.000186,(((SYRO:0.001215,PSVA:0.001373)0.99:0.003402,(NEWE:0.001354,MEST:0.003394)0.99:0.000925)0.99:0.00065,(((LOGI:0.00122,(HERO:0.002648,CATE:0.000814)0.99:0.000322)0.99:0.000154,(SCMA:0.006009,((IXSC:0.002241,(DRME:0.002649,DAPU:0.001881)0.99:0.000395)0.99:0.000357,(PRPA:0.002506,CAEL:0.001072)0.99:0.005102)0.99:0.00044)0.99:0.000139)0.99:0.000198,(((((XETR:0.000519,(HOSA:0.00016,GAGA:0.000473)0.99:0.000105)0.99:0.000148,DARE:0.000325)0.99:0.001055,CIIN:0.002618)0.99:0.000218,BRFL:0.00112)0.99:0.000172,((SAKO:0.000472,PTFL:0.001057)0.99:0.000557,(STPU:0.000969,"ACPL:0.000684)0.99:0.000369)0.99:0.000257)0.99:0.000163)0.99:0.000259)0.99:0.000214)0.99:0.000314)0.99:0.000605);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,47,1.00E-12,2.5,37860,cluster.47_Species_homogroups_Diamond.1e-12.all_vs_all.txt.2.5.mcl.table.fasta.nexus,47,,,cluster.47_Species_homogroups_Diamond.1e-12.all_vs_all.txt.2.5.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-12.all_vs_all.txt.2.5.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-12.all_vs_all.txt.2.5.mcl.table.fasta_run_3.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-12.all_vs_all.txt.2.5.mcl.table.fasta_run_4.trees.tree,:,80001,trees,0.0679117,0.000549956,1060,1060,0.00803981,1153,0.0222181,1153,0.0223428,1232,0.0235562,1320,0.0245394,1230,0.0235078,80001,0,2715,0.00264014,2715,0.00264048,80001,0,,,,,"""(ACDI:0.000922",NEVE:0.000947,(HYMA:0.002931,((((PLBA:0.003233,MNLE:0.000762)0.99:0.0053,(TRAD:0.000848,HOHO:0.000451)0.99:0.003064)0.98:0.000107,(((SYCI:0.002342,OSCA:0.004323)0.99:0.000131,(TEWI:0.001731,AMQU:0.001289)0.99:0.001424)0.99:0.000251,((SARO:0.001978,MOBR:0.003187)0.99:0.002694,(CAOW:0.004073,(SPAR:0.005709,(SPPU:0.002246,((((SCPO:0.005113,SACE:0.006318)0.99:0.000944,MAOR:0.002569)0.99:0.000661,CRNE:0.004385)0.99:0.001984,ALMA:0.005665)0.99:0.000662)0.99:0.002692)0.99:0.000837)0.99:0.000696)0.99:0.001187)0.99:0.000213)0.99:0.000206,((XEBO:0.002955,((SYRO:0.001159,PSVA:0.001447)0.99:0.00341,(NEWE:0.001487,MEST:0.003499)0.99:0.000948)0.99:0.000229)0.99:0.000449,(((LOGI:0.001312,(HERO:0.002743,CATE:0.000839)0.99:0.000334)0.99:0.000162,(SCMA:0.006083,((IXSC:0.002278,(DRME:0.002685,DAPU:0.001907)0.99:0.000415)0.99:0.000345,(PRPA:0.002521,CAEL:0.001067)0.99:0.005089)0.99:0.0005)0.98:0.000147)0.99:0.00025,(((((XETR:0.000539,(HOSA:0.000163,GAGA:0.00048)0.99:0.000114)0.99:0.000161,DARE:0.000341)0.99:0.001119,CIIN:0.002731)0.99:0.000254,BRFL:0.001212)0.99:0.000232,((SAKO:0.000556,PTFL:0.001111)0.99:0.000644,((STPU:0.001058,(OPFA:0.001112,AUMO:0.00293)0.99:0.000638)0.51:9.2e-05,"ACPL:0.00086)0.99:0.000364)0.99:0.000256)0.99:0.00013)0.99:0.000184)0.99:0.000296)0.99:0.000342)0.99:0.00061);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,41,1.00E-09,2.5,32986,cluster.41_Species_homogroups_Diamond.1e-9.all_vs_all.txt.2.5.mcl.table.fasta.nexus,41,,,cluster.41_Species_homogroups_Diamond.1e-9.all_vs_all.txt.2.5.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-9.all_vs_all.txt.2.5.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-9.all_vs_all.txt.2.5.mcl.table.fasta_run_3.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-9.all_vs_all.txt.2.5.mcl.table.fasta_run_4.trees.tree,:,80001,trees,0.0173373,0.000213223,885,885,0.00787328,3923,0.00968701,3900,0.00971747,4310,0.0109461,4841,0.0118236,4304,0.0109231,80001,0,1712,0.00612913,1712,0.00612912,80001,0,,,,,"""(ACDI:0.000988",NEVE:0.001063,(HYMA:0.003206,((((PLBA:0.003737,MNLE:0.000944)0.99:0.005988,(TRAD:0.000969,HOHO:0.00046)0.99:0.003403)0.99:0.000145,(((SYCI:0.002585,OSCA:0.004933)0.99:0.000137,(TEWI:0.001917,AMQU:0.001436)0.99:0.001559)0.99:0.000286,((SARO:0.002255,MOBR:0.003805)0.99:0.003113,(CAOW:0.004789,(SPAR:0.006787,(SPPU:0.002809,((((SCPO:0.006425,SACE:0.007981)0.99:0.001237,MAOR:0.003364)0.99:0.000888,CRNE:0.00552)0.99:0.002452,ALMA:0.007165)0.99:0.000874)0.99:0.003397)0.99:0.000954)0.99:0.000827)0.99:0.001325)0.99:0.000229)0.99:0.000213,(XEBO:0.003726,(((SCMA:0.00717,(LOGI:0.001441,(HERO:0.003046,CATE:0.000969)0.99:0.000378)0.99:9.5e-05)0.98:0.000101,((IXSC:0.002625,(DRME:0.003083,DAPU:0.002214)0.99:0.000503)0.99:0.000474,(PRPA:0.002858,CAEL:0.001311)0.99:0.005909)0.99:0.000622)0.99:0.000245,(((((XETR:0.00064,(HOSA:0.000215,GAGA:0.000558)0.99:0.000117)0.99:0.000176,DARE:0.000402)0.99:0.00123,CIIN:0.002982)0.99:0.000258,BRFL:0.001318)0.99:0.000203,((SAKO:0.000587,PTFL:0.001213)0.99:0.000652,(STPU:0.001114,"ACPL:0.000861)0.99:0.000432)0.99:0.000306)0.99:0.00013)0.99:7.5e-05)0.99:0.000418)0.99:0.000365)0.99:0.000651);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,44,1.00E-09,2.5,37802,cluster.44_Species_homogroups_Diamond.1e-9.all_vs_all.txt.2.5.mcl.table.fasta.nexus,44,,,cluster.44_Species_homogroups_Diamond.1e-9.all_vs_all.txt.2.5.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.44_Species_homogroups_Diamond.1e-9.all_vs_all.txt.2.5.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.44_Species_homogroups_Diamond.1e-9.all_vs_all.txt.2.5.mcl.table.fasta_run_3.trees.tree,:,80001,trees,cluster.44_Species_homogroups_Diamond.1e-9.all_vs_all.txt.2.5.mcl.table.fasta_run_4.trees.tree,:,80001,trees,0.00501244,0.0001,813,813,0.0136168,1856,0.0228892,1835,0.0227288,1964,0.0224067,2138,0.0219438,1964,0.0224431,80001,0,2866,0.00741296,2866,0.0074153,80001,0,,,,,"""(ACDI:0.0011",NEVE:0.001151,(HYMA:0.003388,((((PLBA:0.003849,MNLE:0.000923)0.99:0.006324,(TRAD:0.001016,HOHO:0.000492)0.99:0.003611)0.99:0.000156,(((SYCI:0.002813,OSCA:0.005199)0.99:0.00014,(TEWI:0.002082,AMQU:0.001575)0.99:0.001653)0.99:0.000295,((SARO:0.002371,MOBR:0.00395)0.99:0.003222,(CAOW:0.004981,(SPAR:0.006844,(SPPU:0.002884,((((SCPO:0.006552,SACE:0.008052)0.99:0.00119,MAOR:0.003406)0.99:0.000844,CRNE:0.005559)0.99:0.00242,ALMA:0.007207)0.99:0.000882)0.99:0.003364)0.99:0.000951)0.99:0.000849)0.99:0.001341)0.99:0.000233)0.99:0.000209,(((SYRO:0.001385,PSVA:0.001465)0.99:0.003753,(NEWE:0.001531,MEST:0.003512)0.99:0.001035)0.99:0.000823,(((SCMA:0.007416,(LOGI:0.001544,(HERO:0.003224,CATE:0.001052)0.99:0.000395)0.99:0.00011)0.99:9.5e-05,((IXSC:0.002748,(DRME:0.00322,DAPU:0.00234)0.99:0.000514)0.99:0.00046,(PRPA:0.002966,CAEL:0.001385)0.99:0.005964)0.99:0.000684)0.99:0.000224,(((((XETR:0.000695,(HOSA:0.000218,GAGA:0.000589)0.99:0.000126)0.99:0.000181,DARE:0.000412)0.99:0.00128,CIIN:0.003144)0.99:0.00027,BRFL:0.001389)0.99:0.000221,((SAKO:0.00063,PTFL:0.001302)0.99:0.000682,(STPU:0.001177,"ACPL:0.000916)0.99:0.000446)0.99:0.000324)0.99:0.000201)0.99:0.000313)0.99:0.000245)0.99:0.000399)0.99:0.000723);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,47,1.00E-09,2.5,39589,cluster.47_Species_homogroups_Diamond.1e-9.all_vs_all.txt.2.5.mcl.table.fasta.nexus,47,1_2_4,,cluster.47_Species_homogroups_Diamond.1e-9.all_vs_all.txt.2.5.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-9.all_vs_all.txt.2.5.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-9.all_vs_all.txt.2.5.mcl.table.fasta_run_4.trees.tree,:,80001,trees,,0.0922738,0.000775021,908,908,0.00590198,1331,0.0162887,1328,0.0161571,1401,0.0156351,1488,0.0153504,1400,0.0156651,80001,0,2949,0.00573254,2949,0.00573339,80001,0,,,,,"""(ACDI:0.001126",NEVE:0.001149,(HYMA:0.003439,((((PLBA:0.003808,MNLE:0.000915)0.99:0.0062,(TRAD:0.001012,HOHO:0.000499)0.99:0.00363)0.99:0.000146,(((SYCI:0.002839,OSCA:0.005175)0.99:0.00014,(TEWI:0.002108,AMQU:0.001592)0.99:0.001646)0.99:0.000289,((SARO:0.002307,MOBR:0.003838)0.99:0.003109,(CAOW:0.004806,(SPAR:0.006514,(SPPU:0.002739,((((SCPO:0.0061,SACE:0.007544)0.99:0.001095,MAOR:0.003152)0.99:0.000809,CRNE:0.005211)0.99:0.002237,ALMA:0.006798)0.99:0.000848)0.99:0.00319)0.99:0.000911)0.99:0.000812)0.99:0.001362)0.99:0.00024)0.99:0.000216,((XEBO:0.003511,((SYRO:0.001322,PSVA:0.001517)0.99:0.003719,(NEWE:0.001613,MEST:0.00352)0.99:0.001056)0.99:0.000304)0.99:0.000525,(((LOGI:0.001645,(HERO:0.003295,CATE:0.001104)0.99:0.000411)0.99:0.000181,(SCMA:0.00728,((IXSC:0.002741,(DRME:0.003235,DAPU:0.002343)0.99:0.00052)0.99:0.000439,(PRPA:0.002898,CAEL:0.00134)0.99:0.005875)0.99:0.000605)0.85:0.000194)0.99:0.000299,(((((XETR:0.000706,(HOSA:0.00023,GAGA:0.000591)0.99:0.000126)0.99:0.000179,DARE:0.000434)0.99:0.001324,CIIN:0.003224)0.99:0.000313,BRFL:0.001525)0.99:0.000303,((SAKO:0.000749,PTFL:0.001363)0.99:0.00078,((OPFA:0.001075,AUMO:0.003053)0.99:0.000657,(STPU:0.001353,"ACPL:0.001116)0.99:0.000165)0.99:0.000413)0.99:0.000304)0.99:0.000152)0.99:0.000208)0.99:0.000326)0.99:0.000409)0.99:0.000757);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
